App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,installs,size_mb,price_usd,last_updated,category,reviews,is_paid,price_band,log_installs,log_size_mb,log_reviews,age_days,reviews_per_install,n_reviews_scored,mean_compound,pct_negative,pct_positive,shortlist_score
Credit Karma,FINANCE,4.7,706301,Varies with device,"10,000,000+",Free,0,Everyone,Finance,"July 31, 2018",Varies with device,Varies with device,10000000.0,,0.0,2018-07-31,FINANCE,706301,0,Free,16.118095750958314,,13.46779818705094,8,0.0706301,35.0,0.6460057142857143,0.05714285714285714,0.8285714285714286,71.42619002781812
Discover Mobile,FINANCE,4.6,87951,68M,"5,000,000+",Free,0,Everyone,Finance,"July 23, 2018",9.7.0,4.1 and up,5000000.0,68.0,0.0,2018-07-23,FINANCE,87951,0,Free,15.424948670398354,4.23410650459726,11.384546490100442,16,0.0175902,1.0,0.2239,0.0,0.0,70.95476388383243
"DU Recorder – Screen Recorder, Video Editor, Live",VIDEO_PLAYERS,4.8,2588730,9.7M,"50,000,000+",Free,0,Everyone,Video Players & Editors,"July 30, 2018",1.7.1.3,5.0 and up,50000000.0,9.7,0.0,2018-07-30,VIDEO_PLAYERS,2588730,0,Free,17.72753358339242,2.3702437414678603,14.766678352215456,9,0.0517746,58.0,0.4036137931034483,0.1724137931034483,0.603448275862069,70.42109892437266
"GO Weather - Widget, Theme, Wallpaper, Efficient",WEATHER,4.5,1422858,Varies with device,"50,000,000+",Free,0,Everyone,Weather,"August 3, 2018",Varies with device,Varies with device,50000000.0,,0.0,2018-08-03,WEATHER,1422858,0,Free,17.72753358339242,,14.1681787857255,5,0.02845716,22.0,0.25525454545454546,0.13636363636363635,0.5909090909090909,68.89564188091146
AccuWeather: Daily Forecast & Live Weather Reports,WEATHER,4.4,2053404,Varies with device,"50,000,000+",Free,0,Everyone,Weather,"August 6, 2018",Varies with device,Varies with device,50000000.0,,0.0,2018-08-06,WEATHER,2053404,0,Free,17.72753358339242,,14.535009948829915,2,0.04106808,32.0,0.3471,0.125,0.65625,68.25100429606083
Alfred Home Security Camera,HOUSE_AND_HOME,4.5,103305,Varies with device,"5,000,000+",Free,0,Everyone,House & Home,"July 31, 2018",Varies with device,Varies with device,5000000.0,,0.0,2018-07-31,HOUSE_AND_HOME,103305,0,Free,15.424948670398354,,11.545450736673626,8,0.020661,30.0,0.4285466666666667,0.03333333333333333,0.6333333333333333,67.09852671623284
APE Weather ( Live Forecast),WEATHER,4.3,20008,9.1M,"5,000,000+",Free,0,Everyone,Weather,"July 3, 2018",7.1.34.28,5.0 and up,5000000.0,9.1,0.0,2018-07-03,WEATHER,20008,0,Free,15.424948670398354,2.312535423847214,9.903937451316493,36,0.0040016,33.0,0.41193939393939394,0.030303030303030304,0.7575757575757576,64.31736172869132
H TV,ENTERTAINMENT,4.3,103078,5.6M,"5,000,000+",Free,0,Everyone,Entertainment,"July 5, 2018",4.6.2,2.3.3 and up,5000000.0,5.6,0.0,2018-07-05,ENTERTAINMENT,103078,0,Free,15.424948670398354,1.8870696490323797,11.543250963516295,34,0.0206156,39.0,0.2640153846153846,0.05128205128205128,0.6153846153846154,62.9258803451379
Bank of America Mobile Banking,FINANCE,4.4,341090,53M,"10,000,000+",Free,0,Everyone,Finance,"July 31, 2018",7.8.8,4.4 and up,10000000.0,53.0,0.0,2018-07-31,FINANCE,341090,0,Free,16.118095750958314,3.9889840465642745,12.739904582834367,8,0.034109,32.0,0.3957875,0.125,0.65625,62.054668641189515
Fandango Movies - Times + Tickets,ENTERTAINMENT,4.6,243747,Varies with device,"10,000,000+",Free,0,Teen,Entertainment,"August 2, 2018",Varies with device,Varies with device,10000000.0,,0.0,2018-08-02,ENTERTAINMENT,243747,0,Free,16.118095750958314,,12.403890183698227,6,0.0243747,66.0,0.28955000000000003,0.16666666666666666,0.5909090909090909,61.78603371200687
"Apartment List: Housing, Apt, and Property Rentals",HOUSE_AND_HOME,4.5,8481,7.5M,"1,000,000+",Free,0,Everyone,House & Home,"August 3, 2018",2.1.0,5.0 and up,1000000.0,7.5,0.0,2018-08-03,HOUSE_AND_HOME,8481,0,Free,13.815511557963774,2.1400661634962708,9.045701550034536,5,0.008481,47.0,0.5201510638297873,0.0425531914893617,0.8297872340425532,59.52427852101413
Free live weather on screen,WEATHER,4.4,15370,21M,"1,000,000+",Free,0,Everyone,Weather,"August 2, 2018",12.2.6.3660,4.1 and up,1000000.0,21.0,0.0,2018-08-02,WEATHER,15370,0,Free,13.815511557963774,3.091042453358316,9.640237896224932,6,0.01537,38.0,0.47197631578947363,0.02631578947368421,0.868421052631579,59.188560043065856
